name,avgscore
david shapiro,63.0
david siegel,68.66666666666667
david silverman,79.0
david sington,84.0
david slade,56.333333333333336
david soren,58.0
david swift,73.0
david t. friendly,50.0
david trueba,61.0
david twohy,51.666666666666664
david veloz,57.0
david von ancken,62.0
david wain,53.2
david weaver,37.0
david weissman,94.0
david winters,54.0
david wnendt,77.0
david worth,33.0
david yates,75.25
david zellner,68.0
david zieff,68.0
david zucker,52.3
davis guggenheim,61.8
dawn porter,87.0
dax shepard,36.0
dayna goldfine,67.0
dean deblois,74.33333333333333
dean israelite,47.0
dean parisot,52.25
dean wright,35.0
deb ellis,65.0
deb hagan,15.0
debbie isitt,57.0
deborah chow,49.0
deborah hoffmann,85.0
deborah kampmeier,31.0
deborah kaplan,49.5
deborah koons,63.0
deborah scranton,77.0
deborah warner,69.0
debra granik,81.66666666666667
declan donnellan,42.0
dee rees,79.0
deepa mehta,60.6
deidre schoo,54.0
dein perry,45.0
del shores,47.0
delphine coulin,61.0
delphine gleize,71.0
demian fenton,71.0
demian lichtenstein,21.0
denis cote,73.5
denis dercourt,67.0
denis henry hennelly,36.0
denis mueller,65.0
denis villeneuve,70.25
deniz gamze erguven,83.0
dennie gordon,31.75
dennis dugan,31.307692307692307
dennis gansel,65.0
dennis hopper,69.33333333333333
dennis iliadis,42.0
dennis lee,37.5
dennis widmyer,49.0
denny tedesco,67.0
denys arcand,47.666666666666664
denzel washington,63.5
deon taylor,28.0
